archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"avene-cleanance-serum-30-ml-130746.webp","AVENE CLEANANCE SERUM 30 ML","DERM-I00125","Avene Cleanance Comedomed 30 ML","0.6"
"eucerin-dermopure-gel-limpiador-triple-effect-150-ml-130328.webp","EUCERIN DERMOPURE GEL LIMPIADOR TRIPLE EFFECT 150 ML","DERM-I00470","Eucerin Dermopure OIL Control GEL Limpiador Triple Efecto 150 ML","0.6"
"filorga-solucion-micellar-400-ml-129742.webp","FILORGA SOLUCION MICELLAR 400 ML","DERM-I00526","Filorga Solucion Micelar 400 ML","0.6"
"isdin-fotoprotector-fusion-fluid-mineral-baby-pediatrics-spf-127299.webp","ISDIN FOTOPROTECTOR FUSION FLUID MINERAL BABY PEDIATRICS SPF","DERM-I00682","Isdin Fotoprotector Pediatrics Fusion Fluido Mineral Baby SPF 50","0.6"
"isdin-fotoultra-age-repair-fusion-water-color-spf50-50-ml-pr-128802.webp","ISDIN FOTOULTRA AGE REPAIR FUSION WATER COLOR SPF50 50 ML PR","DERM-I00689","Isdin Fusion Water AGE Repair Color","0.6"
"la-roche-posay-effaclar-adapalene-gel-0-1-acne-treat-1-6-oz-154063.webp","LA ROCHE POSAY EFFACLAR ADAPALENE GEL 0.1% ACNE TREAT 1.6 OZ","DERM-I00786","LA Roche Posay Effaclar Adapalene GEL","0.6"
"sensilis-skin-delight-mask-vit-c-mascarilla-vitamina-c-150-125374.webp","SENSILIS SKIN DELIGHT MASK VIT C (MASCARILLA VITAMINA C) 150","DERM-I01069","Sensilis Skin Delight Mascarilla Vitamina C 50ML","0.6"
"sesderma-oceanskin-serum-hidratante-30-ml-122543.webp","SESDERMA OCEANSKIN SERUM HIDRATANTE 30 ML","DERM-I01127","Sesderma Oceanskin Serum","0.6"
"vichy-mineral-89-crema-hidratante-72h-sin-fragancia-50-ml-129126.webp","VICHY MINERAL 89 CREMA HIDRATANTE 72H SIN FRAGANCIA 50 ML","DERM-I01327","Vichy Mineral 89 Crema Hidratante 72H Textura","0.6"
"eucerin-dermo-pure-oil-control-crema-facial-noche-40-ml-88257.webp","EUCERIN DERMO PURE OIL CONTROL CREMA FACIAL NOCHE 40 ML","DERM-I00466","Eucerin Dermopure OIL Control Crema Facial Accion Intensiva Noche 40 ML","0.58"
"la-roche-posay-anthelios-70-uv-correct-protector-solar-50-m-123425.webp","LA ROCHE POSAY ANTHELIOS 70 UV CORRECT PROTECTOR SOLAR 50 M","DERM-I00801","LA Roche-posay Anthelios 70 UV Correct 50 ML","0.58"
